onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3000	Switch	Inc	0	0	Physical	0.446	0.613
7.5	1.5	1	3000	Switch	Inc	0	1	Number	0.379	0.572
15	1.5	1	3000	Repeat	Inc	10	1	Number	0.427	0.595
22.5	1.5	1	6000	Repeat	Inc	10	1	Number	0.623	0.593
33	1.5	1	3000	Switch	Con	0	1	Physical	0.383	0.42
40.5	1.5	1	3000	Switch	Inc	0	1	Number	0.792	0.593
48	1.5	1	3000	Switch	Inc	0	1	Physical	0.541	1.01
55.5	1.5	1	3000	Repeat	Inc	0	1	Physical	0.364	0.707
63	1.5	1	3000	Switch	Con	0	1	Number	0.5	0.497
70.5	1.5	1	3000	Switch	Inc	0	1	Physical	0.347	0.585
78	1.5	1	3000	Repeat	Inc	0	1	Physical	0.56	0.765
85.5	1.5	1	3000	Repeat	Con	10	1	Physical	0.494	0.384
93	1.5	1	3000	Switch	Con	10	1	Number	0.573	0.445
100.5	1.5	1	3000	Repeat	Con	0	1	Number	0.501	0.422
108	1.5	1	4500	Switch	Con	0	1	Physical	0.544	0.407
117	1.5	1	3000	Repeat	Con	10	1	Physical	0.462	0.38
124.5	1.5	1	4500	Switch	Inc	0	1	Number	0.604	0.979
133.5	1.5	1	3000	Switch	Con	10	1	Physical	0.378	0.368
141	1.5	1	3000	Switch	Inc	0	1	Number	0.606	0.697
148.5	1.5	1	3000	Repeat	Con	10	1	Number	0.343	0.518
156	1.5	1	3000	Repeat	Inc	0	1	Number	0.376	0.723
163.5	1.5	1	7500	Switch	Con	0	1	Physical	0.417	0.41
175.5	1.5	1	3000	Switch	Con	0	1	Number	0.368	0.453
183	1.5	1	3000	Switch	Con	0	1	Physical	0.326	0.573
190.5	1.5	1	3000	Repeat	Inc	0	1	Physical	0.299	0.666
198	1.5	1	3000	Switch	Inc	10	1	Number	0.582	0.681
205.5	1.5	1	3000	Switch	Con	0	1	Physical	0.428	0.407
213	1.5	1	3000	Repeat	Inc	0	1	Physical	1.181	0.924
220.5	1.5	1	3000	Switch	Inc	10	1	Number	0.432	0.675
228	1.5	1	3000	Repeat	Con	10	1	Number	0.656	0.533
235.5	1.5	1	3000	Switch	Inc	0	1	Physical	0.571	0.692
243	1.5	1	6000	Switch	Con	0	1	Number	0.441	0.642
253.5	1.5	1	4500	Switch	Con	10	1	Physical	0.399	0.441
262.5	1.5	1	3000	Repeat	Con	10	1	Physical	0.403	0.462
270	1.5	1	3000	Repeat	Con	0	1	Physical	0.587	0.421
277.5	1.5	1	3000	Repeat	Inc	0	0	Physical	0.379	0.919
