onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Inc	0	0	Number	0.483	1.103
7.5	1.5	1	4.5	Repeat	Con	0	1	Number	0.706	0.529
16.5	1.5	1	3	Switch	Inc	0	1	Physical	0.563	0.613
24	1.5	1	3	Switch	Inc	0	1	Number	0.4	0.792
31.5	1.5	1	3	Switch	Inc	0	1	Physical	0.436	0.652
39	1.5	1	3	Repeat	Inc	0	1	Physical	0.362	0.628
46.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.436	0.786
54	1.5	1	3	Switch	Con	10	1	Number	0.414	0.638
61.5	1.5	1	3	Switch	Con	0	1	Physical	0.562	0.621
69	1.5	1	3	Switch	Inc	0	1	Number	0.452	0.969
76.5	1.5	1	3	Repeat	Con	0	1	Number	0.565	0.925
84	1.5	1	3	Repeat	Inc	0	1	Number	0.404	0.71
91.5	1.5	1	3	Switch	Inc	0	1	Physical	0.41	0.594
99	1.5	1	3	Switch	Con	0	1	Number	0.585	0.919
106.5	1.5	1	3	Switch	Inc	0	1	Physical	0.433	0.769
114	1.5	1	3	Repeat	Con	0	1	Physical	0.53	0.486
121.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.388	0.481
129	1.5	1	3	Repeat	Con	0	1	Physical	0.579	0.567
136.5	1.5	1	3	Repeat	Con	0	1	Physical	0.531	0.419
144	1.5	1	7.5	Switch	Con	0	1	Number	0.343	0.593
156	1.5	1	3	Repeat	Inc	10	1	Number	0.412	0.683
163.5	1.5	1	3	Switch	Inc	0	1	Physical	0.775	0.775
171	1.5	1	3	Switch	Con	0	1	Number	0.639	0.588
178.5	1.5	1	3	Repeat	Inc	0	1	Number	0.333	0.984
186	1.5	1	3	Repeat	Con	10	1	Number	0.379	0.596
193.5	1.5	1	3	Repeat	Con	0	1	Number	0.536	0.612
201	1.5	1	3	Switch	Con	0	0	Physical	0.578	0.62
208.5	1.5	1	3	Switch	Con	0	1	Number	0.422	0.876
216	1.5	1	3	Switch	Con	0	1	Physical	0.465	0.524
223.5	1.5	1	3	Switch	Con	0	1	Number	0.602	0.638
231	1.5	1	6	Repeat	Inc	0	1	Number	0.464	0.714
241.5	1.5	1	3	Switch	Con	0	1	Physical	0.333	0.569
249	1.5	1	3	Switch	Con	0	1	Number	0.722	0.598
256.5	1.5	1	3	Switch	Inc	0	1	Physical	0.778	0.592
264	1.5	1	3	Switch	Con	0	1	Number	0.368	0.592
271.5	1.5	1	3	Repeat	Con	10	1	Number	0.38	0.554
279	1.5	1	4.5	Repeat	Inc	0	1	Number	0.454	0.703
288	1.5	1	3	Switch	Con	0	1	Physical	0.621	0.514
295.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.33	0.836
303	1.5	1	3	Switch	Con	10	1	Number	0.457	0.57
310.5	1.5	1	3	Repeat	Con	0	1	Number	1.235	0.686
318	1.5	1	3	Switch	Inc	10	1	Physical	0.332	0.475
325.5	1.5	1	4.5	Switch	Con	10	1	Number	0.401	0.532
334.5	1.5	1	3	Repeat	Inc	0	1	Number	0.405	1.014
342	1.5	1	3	Switch	Inc	0	1	Physical	0.354	0.436
349.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.34	0.464
357	1.5	1	3	Switch	Con	0	1	Number	0.641	0.601
364.5	1.5	1	3	Repeat	Con	0	1	Number	0.753	0.54
372	1.5	1	3	Switch	Inc	0	1	Physical	0.295	0.583
379.5	1.5	1	3	Switch	Con	0	1	Number	0.448	0.903
387	1.5	1	3	Repeat	Inc	0	1	Number	0.662	0.667
394.5	1.5	1	3	Switch	Inc	0	1	Physical	0.443	0.884
402	1.5	1	4.5	Switch	Inc	10	1	Number	0.724	0.614
411	1.5	1	3	Repeat	Con	0	1	Number	0.643	0.704
418.5	1.5	1	3	Switch	Con	0	1	Physical	0.711	0.493
426	1.5	1	3	Switch	Inc	0	1	Number	0.583	0.82
433.5	1.5	1	3	Repeat	Con	10	1	Number	0.586	0.563
441	1.5	1	3	Repeat	Inc	0	1	Number	0.638	0.782
448.5	1.5	1	3	Switch	Inc	10	1	Physical	0.462	0.476
456	1.5	1	6	Repeat	Inc	0	1	Physical	0.546	0.621
