onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Con	10	1	Physical	0.303	0.394
7.5	1.5	1	3	Repeat	Con	0	1	Physical	0.295	0.485
15	1.5	1	3	Repeat	Inc	10	1	Physical	0.288	0.393
22.5	1.5	1	3	Switch	Con	0	1	Number	0.306	0.39
30	1.5	1	3	Repeat	Inc	0	1	Number	0.319	0.544
37.5	1.5	1	3	Switch	Con	10	1	Physical	0.312	0.457
45	1.5	1	3	Repeat	Inc	0	1	Physical	0.338	0.389
52.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.292	0.376
60	1.5	1	3	Switch	Inc	0	0	Number	0.261	0.45
67.5	1.5	1	3	Repeat	Con	10	1	Number	0.247	0.446
75	1.5	1	3	Repeat	Con	0	1	Number	0.266	0.432
82.5	1.5	1	3	Repeat	Con	0	0	Number	0.332	0.465
90	1.5	1	4.5	Repeat	Inc	0	1	Number	0.287	0.532
99	1.5	1	3	Switch	Inc	0	1	Physical	0.305	0.4
106.5	1.5	1	3	Repeat	Con	10	1	Physical	0.402	0.411
114	1.5	1	3	Repeat	Inc	0	1	Physical	0.266	0.364
121.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.299	0.361
129	1.5	1	3	Switch	Inc	0	1	Number	0.348	0.654
136.5	1.5	1	7.5	Repeat	Inc	0	0	Number	0.291	0.545
148.5	1.5	1	3	Repeat	Con	10	1	Number	0.321	0.492
156	1.5	1	3	Repeat	Con	0	1	Number	0.338	0.433
163.5	1.5	1	3	Repeat	Inc	0	1	Number	0.313	0.534
171	1.5	1	3	Switch	Inc	0	0	Physical	0.325	0.657
178.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.31	0.434
186	1.5	1	3	Repeat	Inc	0	1	Physical	0.325	0.449
193.5	1.5	1	3	Repeat	Con	0	1	Physical	0.309	0.376
201	1.5	1	3	Switch	Inc	0	1	Number	0.337	0.561
208.5	1.5	1	3	Repeat	Con	0	1	Number	0.288	0.423
216	1.5	1	3	Repeat	Con	10	1	Number	0.476	0.393
223.5	1.5	1	3	Repeat	Con	0	1	Number	0.329	0.389
231	1.5	1	3	Switch	Inc	0	1	Physical	0.362	0.368
238.5	1.5	1	3	Repeat	Con	0	1	Physical	0.256	0.401
246	1.5	1	6	Repeat	Inc	10	1	Physical	0.405	0.43
256.5	1.5	1	3	Switch	Inc	0	0	Number	0.309	0.412
264	1.5	1	3	Repeat	Con	0	1	Number	0.266	0.496
271.5	1.5	1	3	Repeat	Inc	0	1	Number	0.281	0.513
279	1.5	1	3	Switch	Con	0	1	Physical	0.345	0.411
286.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.371	0.425
294	1.5	1	3	Switch	Con	0	1	Number	0.263	0.414
301.5	1.5	1	3	Repeat	Con	0	1	Number	0.321	0.42
309	1.5	1	4.5	Switch	Con	0	1	Physical	0.319	0.418
318	1.5	1	3	Repeat	Inc	0	1	Physical	0.354	0.43
325.5	1.5	1	3	Switch	Inc	0	0	Number	0.297	0.398
333	1.5	1	3	Repeat	Inc	0	1	Number	0.331	0.594
340.5	1.5	1	3	Switch	Inc	0	1	Physical	0.477	0.551
348	1.5	1	3	Repeat	Con	0	1	Physical	0.318	0.388
355.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.36	0.38
363	1.5	1	3	Repeat	Inc	0	1	Physical	0.418	0.403
370.5	1.5	1	3	Switch	Con	10	1	Number	0.322	0.467
378	1.5	1	3	Repeat	Con	0	1	Number	0.346	0.577
385.5	1.5	1	3	Repeat	Con	10	1	Number	0.382	0.479
393	1.5	1	3	Switch	Inc	0	1	Physical	0.307	0.388
400.5	1.5	1	3	Repeat	Con	0	1	Physical	0.32	0.397
408	1.5	1	3	Switch	Con	0	1	Number	0.331	0.412
415.5	1.5	1	3	Repeat	Inc	0	1	Number	0.319	0.526
423	1.5	1	3	Switch	Inc	0	1	Physical	0.319	0.603
430.5	1.5	1	3	Repeat	Con	0	1	Physical	0.306	0.417
438	1.5	1	4.5	Switch	Con	0	0	Number	0.313	0.487
447	1.5	1	3	Repeat	Inc	0	1	Number	0.318	0.724
