onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Con	0	0	Number	0.341	0.498
7.5	1.5	1	7.5	Repeat	Con	0	0	Number	0.349	0.477
19.5	1.5	1	4.5	Switch	Con	10	1	Physical	0.316	0.377
28.5	1.5	1	6	Switch	Inc	0	0	Number	0.435	1.028
39	1.5	1	3	Switch	Con	0	1	Physical	0.353	0.644
46.5	1.5	1	3	Repeat	Con	0	1	Physical	0.364	0.414
54	1.5	1	3	Repeat	Inc	0	1	Physical	0.298	0.937
61.5	1.5	1	3	Switch	Con	0	0	Number	0.331	0.437
69	1.5	1	3	Repeat	Inc	0	1	Number	0.367	0.667
76.5	1.5	1	3	Switch	Con	0	1	Physical	0.366	0.745
84	1.5	1	3	Switch	Con	10	1	Number	0.475	0.577
91.5	1.5	1	3	Repeat	Con	0	1	Number	0.408	0.755
99	1.5	1	3	Switch	Con	0	1	Physical	0.305	0.513
106.5	1.5	1	3	Switch	Inc	0	0	Number	0.455	0.739
114	1.5	1	3	Repeat	Con	0	1	Number	0.358	0.438
121.5	1.5	1	3	Repeat	Inc	10	1	Number	0.299	0.628
129	1.5	1	3	Switch	Con	10	1	Physical	0.332	0.494
136.5	1.5	1	3	Switch	Con	0	1	Number	0.272	0.507
144	1.5	1	3	Switch	Inc	0	1	Physical	0.448	0.468
151.5	1.5	1	3	Repeat	Con	10	1	Physical	0.29	0.424
159	1.5	1	3	Switch	Con	0	1	Number	0.325	0.456
166.5	1.5	1	3	Switch	Con	10	1	Physical	0.38	0.476
174	1.5	1	3	Switch	Inc	10	1	Number	0.325	0.464
181.5	1.5	1	3	Repeat	Con	10	1	Number	0.381	0.438
189	1.5	1	3	Repeat	Inc	0	1	Number	0.294	0.528
196.5	1.5	1	3	Switch	Con	0	1	Physical	0.284	0.43
204	1.5	1	3	Switch	Inc	0	1	Number	0.334	0.523
211.5	1.5	1	3	Repeat	Con	0	1	Number	0.301	0.387
219	1.5	1	3	Switch	Inc	0	0	Physical	0.334	0.77
226.5	1.5	1	3	Repeat	Con	0	1	Physical	0.39	0.461
234	1.5	1	3	Switch	Inc	0	1	Number	0.379	0.625
241.5	1.5	1	3	Switch	Inc	10	1	Physical	0.307	0.437
249	1.5	1	3	Switch	Inc	0	0	Number	0.334	0.539
256.5	1.5	1	4.5	Repeat	Con	0	1	Number	0.301	0.699
