onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	4.5	Switch	Con	0	1	Physical	0.313	0.399
9	1.5	1	3	Switch	Inc	0	1	Number	0.346	0.403
16.5	1.5	1	3	Switch	Inc	0	1	Physical	0.325	0.38
24	1.5	1	3	Repeat	Con	10	1	Physical	0.33	0.403
31.5	1.5	1	4.5	Repeat	Con	10	1	Physical	0.304	0.361
40.5	1.5	1	3	Switch	Inc	0	0	Number	0.387	0.465
48	1.5	1	3	Switch	Inc	10	1	Physical	0.289	0.348
55.5	1.5	1	4.5	Switch	Con	10	1	Number	0.297	0.387
64.5	1.5	1	3	Repeat	Inc	10	1	Number	0.293	0.348
72	1.5	1	3	Switch	Inc	0	0	Physical	0.28	0.332
79.5	1.5	1	6	Switch	Con	0	1	Number	0.302	0.381
90	1.5	1	3	Repeat	Con	0	1	Number	0.314	0.36
97.5	1.5	1	3	Repeat	Inc	0	1	Number	0.306	0.44
105	1.5	1	3	Repeat	Con	10	1	Number	0.271	0.387
112.5	1.5	1	3	Repeat	Inc	0	0	Number	0.309	0.314
120	1.5	1	3	Switch	Inc	0	0	Physical	0.285	0.473
127.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.303	0.329
135	1.5	1	3	Switch	Con	10	1	Number	0.355	0.429
142.5	1.5	1	3	Switch	Inc	0	0	Physical	0.349	0.441
150	1.5	1	3	Repeat	Inc	0	1	Physical	0.296	0.408
157.5	1.5	1	3	Repeat	Con	10	1	Physical	0.304	0.352
165	1.5	1	3	Repeat	Con	0	1	Physical	0.272	0.334
172.5	1.5	1	3	Switch	Inc	0	0	Number	0.262	0.362
180	1.5	1	3	Switch	Con	10	1	Physical	0.269	0.323
187.5	1.5	1	3	Switch	Con	0	1	Number	0.231	0.373
195	1.5	1	3	Repeat	Con	10	1	Number	0.284	0.332
202.5	1.5	1	3	Switch	Inc	0	1	Physical	0.339	0.339
210	1.5	1	3	Repeat	Con	0	0	Physical	0.271	0.356
217.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.291	0.479
225	1.5	1	3	Switch	Con	10	1	Number	0.425	0.375
232.5	1.5	1	3	Switch	Con	10	1	Physical	0.303	0.326
240	1.5	1	3	Switch	Inc	10	1	Number	0.014	0.469
247.5	1.5	1	3	Switch	Inc	0	0	Physical	0.318	0.445
255	1.5	1	3	Repeat	Inc	0	1	Physical	0.26	0.368
262.5	1.5	1	6	Repeat	Con	0	1	Physical	0.278	0.371
273	1.5	1	3	Repeat	Con	0	1	Physical	0.307	0.403
280.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.333	0.438
288	1.5	1	3	Switch	Con	0	1	Number	0.263	0.333
295.5	1.5	1	3	Repeat	Inc	0	1	Number	0.316	0.512
303	1.5	1	3	Switch	Con	0	1	Physical	0.259	0.349
310.5	1.5	1	3	Switch	Con	0	1	Number	0.3	0.44
318	1.5	1	3	Switch	Con	0	1	Physical	0.289	0.336
325.5	1.5	1	3	Repeat	Inc	0	0	Physical	0.278	0.45
333	1.5	1	4.5	Repeat	Con	0	1	Physical	0.358	0.338
342	1.5	1	3	Switch	Inc	0	1	Number	0.274	0.393
349.5	1.5	1	3	Switch	Con	0	1	Physical	0.331	0.31
357	1.5	1	3	Switch	Inc	0	0	Number	0.294	0.421
364.5	1.5	1	3	Switch	Inc	0	0	Physical	0.261	0.397
372	1.5	1	3	Repeat	Inc	0	1	Physical	0.275	0.387
379.5	1.5	1	3	Switch	Inc	0	0	Number	0.269	0.486
387	1.5	1	3	Repeat	Inc	10	1	Number	0.062	0.4
394.5	1.5	1	3	Switch	Con	0	1	Physical	0.407	0.525
402	1.5	1	3	Repeat	Con	0	1	Physical	0.327	0.329
409.5	1.5	1	3	Repeat	Inc	0	0	Physical	0.319	0.35
417	1.5	1	3	Repeat	Inc	0	1	Physical	0.317	0.484
424.5	1.5	1	3	Repeat	Con	0	1	Physical	0.301	0.32
432	1.5	1	7.5	Switch	Con	0	1	Number	0.27	0.425
444	1.5	1	3	Repeat	Inc	0	0	Number	0.339	0.347
451.5	1.5	1	3	Repeat	Inc	0	1	Number	0.345	0.412
459	1.5	1	3	Switch	Inc	0	1	Physical	0.294	0.364
466.5	1.5	1	3	Switch	Con	0	1	Number	0.31	0.442
474	1.5	1	3	Repeat	Con	0	1	Number	0.165	0.365
481.5	1.5	1	3	Repeat	Con	0	1	Number	0.276	0.355
489	1.5	1	3	Switch	Con	0	1	Physical	0.275	0.384
0	1.5	2	3	Repeat	Inc	10	1	Physical	0.554	0.481
7.5	1.5	2	3	Repeat	Con	0	1	Physical	0.373	0.359
15	1.5	2	3	Switch	Inc	10	1	Number	0.239	0.46
22.5	1.5	2	3	Repeat	Con	0	1	Number	0.258	0.437
30	1.5	2	3	Switch	Inc	0	0	Physical	0.318	0.365
37.5	1.5	2	3	Switch	Con	10	1	Number	0.307	0.391
45	1.5	2	3	Repeat	Con	0	1	Number	0.286	0.403
52.5	1.5	2	3	Repeat	Inc	10	1	Number	0.248	0.418
60	1.5	2	3	Switch	Inc	10	1	Physical	0.313	0.374
67.5	1.5	2	4.5	Switch	Inc	0	0	Number	0.327	0.369
76.5	1.5	2	3	Switch	Con	10	1	Physical	0.283	0.366
84	1.5	2	4.5	Repeat	Inc	0	1	Physical	0.321	0.354
93	1.5	2	3	Repeat	Con	0	1	Physical	0.336	0.376
100.5	1.5	2	3	Repeat	Inc	0	0	Physical	0.3	0.503
108	1.5	2	3	Switch	Inc	0	0	Number	0.281	0.431
115.5	1.5	2	3	Repeat	Inc	0	1	Number	0.323	0.358
123	1.5	2	3	Switch	Con	0	1	Physical	0.297	0.343
130.5	1.5	2	3	Switch	Inc	10	1	Number	0.359	0.413
138	1.5	2	3	Switch	Con	10	1	Physical	0.366	0.361
145.5	1.5	2	3	Repeat	Inc	0	0	Physical	0.28	0.409
153	1.5	2	3	Repeat	Inc	0	1	Physical	0.322	0.438
160.5	1.5	2	3	Repeat	Inc	0	1	Physical	0.294	0.463
168	1.5	2	3	Switch	Con	10	1	Number	0.281	0.381
175.5	1.5	2	3	Repeat	Con	10	1	Number	0.349	0.355
183	1.5	2	3	Switch	Con	0	1	Physical	0.271	0.341
190.5	1.5	2	3	Switch	Con	10	1	Number	0.331	0.352
198	1.5	2	3	Switch	Con	10	1	Physical	0.409	0.473
205.5	1.5	2	3	Switch	Inc	0	0	Number	0.287	0.377
213	1.5	2	3	Repeat	Con	10	1	Number	0.279	0.37
220.5	1.5	2	3	Repeat	Con	0	1	Number	0.324	0.378
228	1.5	2	3	Repeat	Inc	0	1	Number	0.301	0.381
235.5	1.5	2	3	Switch	Inc	0	0	Physical	0.297	0.491
243	1.5	2	3	Switch	Con	0	1	Number	0.252	0.39
250.5	1.5	2	4.5	Switch	Inc	0	1	Physical	0.269	0.319
259.5	1.5	2	3	Repeat	Con	0	1	Physical	0.323	0.394
267	1.5	2	3	Repeat	Inc	10	1	Physical	0.302	0.336
274.5	1.5	2	6	Switch	Inc	0	1	Number	0.332	0.391
285	1.5	2	3	Repeat	Con	0	1	Number	0.321	0.384
292.5	1.5	2	3	Switch	Con	0	1	Physical	0.373	0.338
300	1.5	2	3	Switch	Inc	0	1	Number	0.253	0.409
307.5	1.5	2	4.5	Switch	Con	10	1	Physical	0.325	0.333
316.5	1.5	2	3	Repeat	Inc	0	1	Physical	0.341	0.348
324	1.5	2	3	Switch	Inc	0	1	Number	0.447	0.423
331.5	1.5	2	3	Repeat	Inc	0	1	Number	0.311	0.345
339	1.5	2	3	Repeat	Con	0	1	Number	0.316	0.427
346.5	1.5	2	3	Switch	Con	10	1	Physical	0.287	0.399
354	1.5	2	3	Switch	Inc	0	1	Number	0.295	0.418
361.5	1.5	2	3	Repeat	Inc	0	1	Number	0.299	0.434
369	1.5	2	6	Switch	Con	0	1	Physical	0.298	0.326
379.5	1.5	2	3	Repeat	Con	0	1	Physical	0.319	0.354
387	1.5	2	7.5	Repeat	Inc	0	1	Physical	0.349	0.426
399	1.5	2	3	Switch	Inc	0	1	Number	0.301	0.471
406.5	1.5	2	3	Repeat	Con	0	1	Number	0.338	0.425
414	1.5	2	3	Switch	Inc	0	1	Physical	0.321	0.325
421.5	1.5	2	3	Switch	Inc	0	1	Number	0.287	0.437
429	1.5	2	3	Repeat	Con	0	1	Number	0.379	0.405
436.5	1.5	2	3	Repeat	Inc	0	0	Number	0.315	0.335
444	1.5	2	3	Switch	Con	0	1	Physical	0.339	0.327
451.5	1.5	2	3	Repeat	Con	0	1	Physical	0.314	0.316
459	1.5	2	3	Switch	Con	0	1	Number	0.327	0.432
466.5	1.5	2	3	Switch	Con	0	1	Physical	0.321	0.352
474	1.5	2	3	Switch	Inc	0	1	Number	0.287	0.396
481.5	1.5	2	3	Repeat	Con	0	1	Number	0.262	0.391
489	1.5	2	3	Switch	Con	0	1	Physical	0.34	0.349
0	1.5	3	3	Repeat	Inc	10	1	Physical	0.278	0.401
7.5	1.5	3	3	Repeat	Con	10	1	Physical	0.329	0.339
15	1.5	3	3	Switch	Con	10	1	Number	0.279	0.413
22.5	1.5	3	3	Switch	Con	10	1	Physical	0.298	0.329
30	1.5	3	3	Switch	Con	0	1	Number	0.272	0.33
37.5	1.5	3	6	Repeat	Con	0	1	Number	0.365	0.4
48	1.5	3	3	Repeat	Inc	0	0	Number	0.261	0.409
55.5	1.5	3	3	Switch	Con	0	1	Physical	0.418	0.348
63	1.5	3	3	Repeat	Inc	0	1	Physical	0.349	0.342
70.5	1.5	3	3	Switch	Con	0	1	Number	0.281	0.402
78	1.5	3	6	Switch	Inc	0	0	Physical	0.298	0.411
88.5	1.5	3	3	Switch	Inc	10	1	Number	0.267	0.393
96	1.5	3	3	Switch	Inc	0	0	Physical	0.383	0.45
103.5	1.5	3	3	Repeat	Con	0	1	Physical	0.312	0.352
111	1.5	3	3	Repeat	Inc	0	1	Physical	0.295	0.51
118.5	1.5	3	4.5	Repeat	Con	10	1	Physical	0.332	0.324
127.5	1.5	3	3	Switch	Con	0	1	Number	0.317	0.452
135	1.5	3	3	Repeat	Con	10	1	Number	0.32	0.368
142.5	1.5	3	3	Switch	Inc	0	1	Physical	1.221	0.432
150	1.5	3	3	Repeat	Inc	10	1	Physical	0.36	0.346
157.5	1.5	3	3	Switch	Con	10	1	Number	0.003	0.433
165	1.5	3	3	Switch	Con	0	1	Physical	0.429	0.332
172.5	1.5	3	3	Switch	Inc	0	0	Number	0.268	0.333
180	1.5	3	3	Repeat	Inc	0	0	Number	0.22	0.37
187.5	1.5	3	3	Repeat	Inc	0	1	Number	0.357	0.362
195	1.5	3	4.5	Switch	Inc	0	1	Physical	0.282	0.374
204	1.5	3	4.5	Repeat	Con	10	1	Physical	0.37	0.371
213	1.5	3	3	Switch	Inc	0	1	Number	0.309	0.427
220.5	1.5	3	3	Switch	Inc	0	1	Physical	0.401	0.39
228	1.5	3	3	Repeat	Inc	0	1	Physical	0.275	0.352
235.5	1.5	3	3	Repeat	Inc	0	1	Physical	0.346	0.346
243	1.5	3	3	Repeat	Con	10	1	Physical	0.335	0.353
250.5	1.5	3	3	Switch	Inc	10	1	Number	0.283	0.428
258	1.5	3	3	Repeat	Inc	0	1	Number	0.397	0.425
265.5	1.5	3	3	Repeat	Inc	0	1	Number	0.271	0.416
273	1.5	3	3	Switch	Con	0	1	Physical	0.281	0.326
280.5	1.5	3	3	Switch	Inc	10	1	Number	0.303	0.456
288	1.5	3	3	Switch	Inc	0	0	Physical	0.37	0.536
295.5	1.5	3	3	Repeat	Con	10	1	Physical	0.36	0.335
