onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Inc	10	1	Physical	0.273	0.389
7.5	1.5	1	3	Repeat	Con	0	1	Physical	0.274	0.343
15	1.5	1	3	Switch	Con	10	1	Number	0.324	0.393
22.5	1.5	1	3	Switch	Con	0	1	Physical	0.257	0.383
30	1.5	1	3	Repeat	Inc	0	0	Physical	0.293	0.565
37.5	1.5	1	3	Switch	Con	0	1	Number	0.272	0.411
45	1.5	1	3	Repeat	Inc	10	1	Number	0.253	0.416
52.5	1.5	1	3	Repeat	Con	0	1	Number	0.266	0.559
60	1.5	1	7.5	Switch	Inc	0	0	Physical	0.278	0.437
72	1.5	1	3	Switch	Con	0	1	Number	0.292	0.449
79.5	1.5	1	3	Repeat	Inc	0	0	Number	0.313	0.592
87	1.5	1	3	Switch	Con	0	1	Physical	0.282	0.439
94.5	1.5	1	3	Switch	Inc	0	1	Number	0.304	0.703
102	1.5	1	3	Repeat	Inc	0	1	Number	0.295	0.746
109.5	1.5	1	3	Switch	Inc	10	1	Physical	0.375	0.409
117	1.5	1	3	Switch	Inc	0	1	Number	0.351	0.782
124.5	1.5	1	3	Repeat	Inc	10	1	Number	0.66	0.682
132	1.5	1	3	Switch	Con	0	1	Physical	0.287	0.372
139.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.31	0.34
147	1.5	1	3	Switch	Inc	0	1	Number	0.287	0.749
154.5	1.5	1	3	Switch	Con	10	1	Physical	0.271	0.405
162	1.5	1	3	Switch	Con	0	1	Number	0.262	0.372
169.5	1.5	1	4.5	Repeat	Inc	0	1	Number	0.298	0.724
178.5	1.5	1	3	Repeat	Inc	0	1	Number	0.289	0.7
186	1.5	1	3	Switch	Inc	0	1	Physical	0.321	0.856
193.5	1.5	1	3	Switch	Con	0	1	Number	0.29	0.58
201	1.5	1	3	Repeat	Inc	0	0	Number	0.321	0.556
208.5	1.5	1	3	Repeat	Inc	0	1	Number	0.287	0.814
216	1.5	1	3	Switch	Inc	10	1	Physical	0.299	0.376
223.5	1.5	1	3	Switch	Con	10	1	Number	0.537	0.657
231	1.5	1	3	Switch	Con	10	1	Physical	0.272	0.395
238.5	1.5	1	3	Repeat	Con	10	1	Physical	0.311	0.434
246	1.5	1	3	Repeat	Con	0	1	Physical	0.409	0.518
253.5	1.5	1	3	Switch	Inc	10	1	Number	0.295	0.596
261	1.5	1	3	Switch	Inc	0	1	Physical	0.277	0.362
268.5	1.5	1	3	Switch	Inc	0	0	Number	0.304	0.655
276	1.5	1	3	Repeat	Inc	0	0	Number	0.269	0.423
283.5	1.5	1	3	Repeat	Con	0	1	Number	0.288	0.527
291	1.5	1	3	Switch	Con	10	1	Physical	0.304	0.393
298.5	1.5	1	3	Switch	Con	10	1	Number	0.292	0.41
