onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Inc	0	1	Physical	0.421	0.553
7.5	1.5	1	6	Switch	Inc	0	1	Number	0.573	0.703
18	1.5	1	3	Repeat	Inc	0	1	Number	1.077	1.186
25.5	1.5	1	3	Switch	Con	0	1	Physical	0.837	0.526
33	1.5	1	3	Switch	Inc	10	1	Number	0.693	0.613
40.5	1.5	1	3	Switch	Con	10	1	Physical	0.333	0.453
48	1.5	1	3	Repeat	Inc	0	0	Physical	0.362	0.411
55.5	1.5	1	4.5	Switch	Inc	0	1	Number	0.827	0.786
64.5	1.5	1	3	Switch	Con	0	1	Physical	0.581	0.564
72	1.5	1	4.5	Switch	Con	0	0	Number	0.568	0.521
81	1.5	1	3	Repeat	Inc	0	1	Number	0.388	1.234
88.5	1.5	1	3	Repeat	Inc	0	0	Number	0.349	0.545
96	1.5	1	3	Switch	Con	0	1	Physical	0.322	0.542
103.5	1.5	1	3	Switch	Con	0	1	Number	0.304	0.763
111	1.5	1	3	Switch	Con	0	1	Physical	1.167	0.526
118.5	1.5	1	3	Switch	Inc	0	1	Number	0.753	0.748
126	1.5	1	3	Switch	Con	0	1	Physical	0.658	0.456
133.5	1.5	1	3	Switch	Inc	0	1	Number	0.246	0.611
141	1.5	1	3	Repeat	Con	0	1	Number	0.627	1.09
148.5	1.5	1	3	Switch	Con	0	1	Physical	0.323	0.796
156	1.5	1	3	Repeat	Con	0	1	Physical	0.541	0.65
163.5	1.5	1	3	Repeat	Con	0	1	Physical	0.365	0.407
171	1.5	1	3	Switch	Con	0	0	Number	0.317	1.173
178.5	1.5	1	3	Repeat	Inc	0	1	Number	0.32	0.852
186	1.5	1	3	Repeat	Con	10	1	Number	0.482	0.338
193.5	1.5	1	3	Switch	Con	0	1	Physical	0.51	0.511
201	1.5	1	3	Switch	Inc	0	1	Number	0.525	0.965
208.5	1.5	1	4.5	Switch	Con	0	1	Physical	0.325	0.453
217.5	1.5	1	3	Switch	Inc	0	1	Number	0.322	0.807
225	1.5	1	3	Switch	Inc	0	0	Physical	0.586	0.851
232.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.327	0.793
240	1.5	1	3	Repeat	Inc	0	1	Physical	0.976	0.741
247.5	1.5	1	3	Switch	Con	0	1	Number	0.322	1.105
255	1.5	1	3	Switch	Con	0	1	Physical	0.328	0.822
262.5	1.5	1	6	Switch	Con	0	1	Number	0.341	0.715
273	1.5	1	3	Repeat	Inc	0	1	Number	0.321	1.082
280.5	1.5	1	3	Repeat	Inc	10	1	Number	0.316	0.608
288	1.5	1	7.5	Switch	Inc	0	1	Physical	0.439	0.637
300	1.5	1	3	Switch	Con	0	1	Number	0.444	1.052
307.5	1.5	1	3	Null	Con	0	0	NoChoice	0	0
315	1.5	1	3	Switch	Inc	0	1	Number	0.331	0.568
322.5	1.5	1	3	Switch	Con	0	1	Physical	0.423	0.41
330	1.5	1	3	Switch	Con	10	1	Number	0.46	0.645
337.5	1.5	1	4.5	Repeat	Inc	0	0	Number	0.711	0.747
346.5	1.5	1	3	Switch	Con	0	1	Physical	0.412	0.456
354	1.5	1	3	Repeat	Inc	0	1	Physical	0.291	0.896
361.5	1.5	1	3	Switch	Inc	0	0	Number	0.308	0.618
369	1.5	1	3	Switch	Inc	10	1	Physical	0.324	0.481
376.5	1.5	1	3	Switch	Con	0	1	Number	0.344	0.655
384	1.5	1	3	Repeat	Inc	0	1	Number	0.379	0.758
391.5	1.5	1	3	Switch	Inc	0	1	Physical	0.346	1.168
399	1.5	1	3	Repeat	Inc	0	1	Physical	0.739	0.653
406.5	1.5	1	3	Switch	Con	10	1	Number	0.301	0.626
414	1.5	1	3	Switch	Con	0	1	Physical	0.342	0.601
421.5	1.5	1	3	Switch	Con	0	1	Number	0.339	0.653
429	1.5	1	3	Repeat	Inc	10	1	Number	0.357	0.568
