onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Con	0	1	Physical	0.459	0.461
7.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.338	0.911
15	1.5	1	3	Switch	Con	10	1	Number	0.292	0.503
22.5	1.5	1	3	Switch	Inc	0	1	Physical	0.313	0.502
30	1.5	1	3	Switch	Inc	0	0	Number	0.312	0.88
37.5	1.5	1	3	Switch	Con	0	1	Physical	0.41	0.56
45	1.5	1	3	Switch	Con	0	1	Number	0.325	0.593
52.5	1.5	1	3	Repeat	Con	0	1	Number	0.291	0.974
60	1.5	1	3	Switch	Inc	0	1	Physical	0.326	0.619
67.5	1.5	1	4.5	Repeat	Con	0	1	Physical	0.341	0.373
76.5	1.5	1	3	Repeat	Inc	0	0	Physical	0.318	0.454
84	1.5	1	3	Repeat	Con	0	1	Physical	0.383	0.825
91.5	1.5	1	3	Repeat	Con	10	1	Physical	0.386	0.439
99	1.5	1	3	Repeat	Inc	0	1	Physical	0.809	0.684
106.5	1.5	1	3	Switch	Con	0	1	Number	0.357	0.746
114	1.5	1	3	Repeat	Con	10	1	Number	0.484	0.597
121.5	1.5	1	3	Switch	Con	10	1	Physical	0.525	0.432
129	1.5	1	3	Switch	Inc	10	1	Number	0.353	0.679
136.5	1.5	1	3	Switch	Inc	0	0	Physical	0.334	0.765
144	1.5	1	3	Repeat	Inc	0	0	Physical	0.308	0.676
151.5	1.5	1	3	Switch	Inc	0	1	Number	0.341	0.724
159	1.5	1	3	Switch	Inc	0	1	Physical	0.523	0.717
166.5	1.5	1	3	Switch	Con	10	1	Number	0.3	0.607
174	1.5	1	3	Switch	Con	0	1	Physical	0.305	0.599
181.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.448	0.398
189	1.5	1	3	Switch	Con	0	1	Number	0.279	0.75
196.5	1.5	1	6	Repeat	Inc	0	1	Number	0.291	0.908
207	1.5	1	3	Repeat	Con	10	1	Number	0.441	0.617
214.5	1.5	1	3	Switch	Inc	10	1	Physical	0.356	0.461
222	1.5	1	3	Switch	Inc	0	0	Number	0.51	0.417
229.5	1.5	1	3	Switch	Con	0	0	Physical	0.376	1.111
237	1.5	1	3	Switch	Con	0	1	Number	0.281	0.859
244.5	1.5	1	3	Switch	Con	0	1	Physical	0.318	0.505
252	1.5	1	3	Repeat	Inc	0	1	Physical	0.306	0.767
259.5	1.5	1	3	Repeat	Con	0	1	Physical	0.324	0.485
267	1.5	1	3	Switch	Inc	0	0	Number	0.303	0
274.5	1.5	1	3	Repeat	Con	0	1	Number	0.376	1.177
282	1.5	1	3	Repeat	Con	0	1	Number	0.338	0.556
289.5	1.5	1	6	Repeat	Con	10	1	Number	0.282	0.554
300	1.5	1	3	Switch	Inc	0	0	Physical	0.375	0.91
307.5	1.5	1	3	Switch	Inc	0	0	Number	0.334	1.033
315	1.5	1	4.5	Repeat	Inc	0	1	Number	0.395	1.221
324	1.5	1	3	Repeat	Con	10	1	Number	0.368	0.622
331.5	1.5	1	3	Repeat	Inc	0	1	Number	0.785	0.981
339	1.5	1	3	Repeat	Con	0	1	Number	0.357	0.517
346.5	1.5	1	3	Repeat	Inc	10	1	Number	0.372	0.572
354	1.5	1	3	Switch	Con	0	1	Physical	0.298	0.674
361.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.306	0.51
369	1.5	1	3	Switch	Inc	0	1	Number	0.448	0.641
376.5	1.5	1	3	Switch	Con	0	1	Physical	0.352	0.462
384	1.5	1	3	Repeat	Inc	0	1	Physical	0.367	0.716
391.5	1.5	1	3	Repeat	Con	0	1	Physical	0.267	0.552
399	1.5	1	3	Repeat	Inc	0	1	Physical	0.337	0.645
406.5	1.5	1	3	Switch	Inc	0	1	Number	0.277	0.82
414	1.5	1	3	Switch	Inc	0	1	Physical	0.341	0.828
421.5	1.5	1	3	Switch	Con	0	0	Number	0.363	0.886
429	1.5	1	3	Repeat	Inc	0	1	Number	0.718	1.309
436.5	1.5	1	3	Switch	Inc	0	1	Physical	0.309	1.265
444	1.5	1	3	Switch	Inc	0	1	Number	0.424	0.713
451.5	1.5	1	3	Switch	Con	0	0	Physical	0.491	0.924
459	1.5	1	4.5	Switch	Con	0	1	Number	0.753	0.816
468	1.5	1	3	Switch	Con	0	1	Physical	0.496	0.526
475.5	1.5	1	4.5	Switch	Inc	0	1	Number	0.439	0.999
484.5	1.5	1	7.5	Repeat	Con	0	1	Number	0.483	0.689
0	1.5	2	3	Switch	Inc	0	0	Physical	0.516	0.823
7.5	1.5	2	3	Repeat	Inc	10	1	Physical	0.561	0.436
15	1.5	2	3	Switch	Inc	0	1	Number	0.292	0.502
22.5	1.5	2	3	Repeat	Con	0	0	Number	0.315	1.195
30	1.5	2	3	Switch	Inc	0	1	Physical	0.277	0.966
37.5	1.5	2	3	Repeat	Con	0	1	Physical	0.276	0.387
45	1.5	2	3	Repeat	Inc	0	1	Physical	0.342	1.405
52.5	1.5	2	3	Repeat	Inc	0	1	Physical	0.34	0.876
60	1.5	2	3	Switch	Con	0	1	Number	0.515	0.822
67.5	1.5	2	4.5	Switch	Con	0	1	Physical	0.352	0.684
76.5	1.5	2	3	Switch	Inc	0	1	Number	0.329	0.747
84	1.5	2	3	Repeat	Con	0	1	Number	0.303	0.71
91.5	1.5	2	3	Switch	Inc	0	1	Physical	0.451	0.955
99	1.5	2	3	Switch	Inc	0	1	Number	0.216	0.775
106.5	1.5	2	3	Repeat	Con	0	1	Number	0.669	0.679
114	1.5	2	3	Repeat	Inc	10	1	Number	0.458	0.595
121.5	1.5	2	3	Switch	Con	0	1	Physical	0.397	0.727
129	1.5	2	3	Switch	Con	10	1	Number	0.317	0.574
136.5	1.5	2	3	Repeat	Con	10	1	Number	0.326	0.505
144	1.5	2	3	Repeat	Inc	0	0	Number	0.316	0.457
151.5	1.5	2	3	Switch	Con	0	1	Physical	0.228	0.763
159	1.5	2	3	Switch	Con	10	1	Number	0.295	0.466
166.5	1.5	2	3	Repeat	Inc	0	1	Number	0.286	0.798
174	1.5	2	3	Switch	Inc	10	1	Physical	0.367	0.407
181.5	1.5	2	6	Repeat	Inc	0	0	Physical	0.318	0.639
192	1.5	2	3	Repeat	Con	0	1	Physical	0.326	0.732
199.5	1.5	2	3	Switch	Inc	0	1	Number	0.485	0.609
207	1.5	2	3	Repeat	Con	0	1	Number	0.346	0.536
214.5	1.5	2	3	Switch	Inc	0	1	Physical	0.282	1.041
222	1.5	2	3	Repeat	Con	0	1	Physical	0.395	0.408
229.5	1.5	2	3	Repeat	Inc	0	0	Physical	0.333	0.32
237	1.5	2	3	Repeat	Inc	0	1	Physical	0.252	0.428
244.5	1.5	2	3	Repeat	Con	0	1	Physical	0.548	0.552
252	1.5	2	3	Switch	Con	10	1	Number	0.347	0.405
259.5	1.5	2	6	Repeat	Con	0	1	Number	0.341	0.457
