onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	4.5	Switch	Con	0	1	Physical	0.329	0.597
9	1.5	1	3	Switch	Inc	0	1	Number	0.566	0.799
16.5	1.5	1	3	Switch	Con	0	1	Physical	0.472	0.523
24	1.5	1	3	Repeat	Con	10	1	Physical	0.463	0.435
31.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.395	0.724
39	1.5	1	3	Switch	Inc	0	1	Number	0.612	0.582
46.5	1.5	1	4.5	Switch	Con	0	1	Physical	0.365	0.431
55.5	1.5	1	3	Switch	Inc	0	1	Number	0.355	0.807
63	1.5	1	3	Repeat	Inc	0	1	Number	0.418	0.617
70.5	1.5	1	3	Repeat	Con	0	1	Number	0.661	0.636
78	1.5	1	3	Switch	Inc	0	1	Physical	0.308	0.81
85.5	1.5	1	3	Repeat	Con	0	1	Physical	0.645	0.64
93	1.5	1	3	Repeat	Inc	0	1	Physical	0.354	0.553
100.5	1.5	1	3	Switch	Con	0	1	Number	0.464	0.438
108	1.5	1	4.5	Switch	Con	0	1	Physical	0.83	0.581
117	1.5	1	3	Switch	Inc	0	1	Number	1.05	0.84
124.5	1.5	1	3	Repeat	Inc	0	1	Number	0.377	0.871
132	1.5	1	3	Repeat	Inc	0	1	Number	1.217	0.886
139.5	1.5	1	3	Switch	Con	10	1	Physical	0.405	0.469
147	1.5	1	3	Repeat	Inc	0	1	Physical	0.792	0.65
154.5	1.5	1	3	Switch	Inc	0	1	Number	0.726	0.718
162	1.5	1	3	Repeat	Inc	0	1	Number	0.637	0.597
169.5	1.5	1	4.5	Switch	Con	0	1	Physical	0.461	0.502
178.5	1.5	1	3	Switch	Inc	0	1	Number	0.521	0.641
186	1.5	1	3	Switch	Inc	0	1	Physical	0.65	0.924
193.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.507	0.735
201	1.5	1	3	Switch	Inc	0	1	Number	0.8	0.855
208.5	1.5	1	3	Repeat	Con	0	0	Number	0.811	1.443
216	1.5	1	3	Switch	Con	10	1	Physical	0.373	0.442
223.5	1.5	1	3	Repeat	Con	0	1	Physical	0.549	0.565
231	1.5	1	3	Switch	Inc	0	1	Number	0.494	0.955
238.5	1.5	1	6	Switch	Con	10	1	Physical	0.483	0.462
249	1.5	1	7.5	Repeat	Con	0	1	Physical	0.384	0.488
261	1.5	1	3	Repeat	Inc	10	1	Physical	0.327	0.422
268.5	1.5	1	3	Switch	Inc	0	1	Number	0.41	0.453
276	1.5	1	3	Repeat	Con	0	1	Number	0.468	1.07
283.5	1.5	1	3	Switch	Con	10	1	Physical	0.518	0.432
291	1.5	1	3	Repeat	Inc	0	1	Physical	0.382	0.653
298.5	1.5	1	3	Switch	Con	0	1	Number	0.405	0.554
306	1.5	1	3	Repeat	Con	0	1	Number	0.943	0.473
313.5	1.5	1	3	Repeat	Con	0	1	Number	0.791	0.672
321	1.5	1	3	Switch	Inc	10	1	Physical	0.432	0.457
328.5	1.5	1	3	Repeat	Con	0	1	Physical	0.477	0.559
336	1.5	1	3	Switch	Inc	0	0	Number	0.352	0.457
