onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Inc	10	1	Physical	0.393	0.468
7.5	1.5	1	3	Repeat	Con	10	1	Physical	0.341	0.498
15	1.5	1	3	Repeat	Con	10	1	Physical	0.487	0.407
22.5	1.5	1	3	Switch	Con	10	1	Number	0.395	0.474
30	1.5	1	3	Switch	Inc	10	1	Physical	0.367	0.445
37.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.519	0.693
45	1.5	1	3	Switch	Inc	0	1	Number	0.304	0.545
52.5	1.5	1	4.5	Repeat	Inc	0	1	Number	0.422	0.672
61.5	1.5	1	3	Switch	Inc	0	1	Physical	0.305	0.97
69	1.5	1	3	Switch	Con	0	1	Number	0.306	0.376
76.5	1.5	1	3	Repeat	Inc	0	1	Number	0.553	0.503
84	1.5	1	3	Repeat	Con	0	1	Number	0.518	0.74
91.5	1.5	1	4.5	Repeat	Inc	0	1	Number	0.391	1.04
100.5	1.5	1	3	Repeat	Inc	0	1	Number	0.338	0.712
108	1.5	1	3	Repeat	Inc	0	1	Number	0.315	0.714
115.5	1.5	1	3	Switch	Inc	0	0	Physical	0.308	0.697
123	1.5	1	7.5	Repeat	Con	0	1	Physical	0.703	0.69
135	1.5	1	3	Repeat	Inc	0	1	Physical	0.33	0.615
142.5	1.5	1	3	Switch	Con	0	1	Number	0.601	0.487
150	1.5	1	3	Switch	Inc	0	1	Physical	0.55	0.853
157.5	1.5	1	3	Repeat	Con	0	1	Physical	0.426	0.475
165	1.5	1	3	Switch	Con	0	1	Number	0.271	0.429
172.5	1.5	1	3	Repeat	Con	10	1	Number	0.408	0.439
180	1.5	1	3	Repeat	Con	0	1	Number	0.453	0.437
187.5	1.5	1	3	Switch	Con	0	1	Physical	0.264	0.494
195	1.5	1	3	Switch	Con	10	1	Number	0.341	0.436
202.5	1.5	1	3	Repeat	Inc	0	0	Number	0.452	0.862
210	1.5	1	3	Repeat	Con	0	1	Number	0.31	0.491
217.5	1.5	1	3	Repeat	Inc	0	1	Number	0.314	0.566
225	1.5	1	3	Repeat	Con	0	1	Number	0.31	0.827
232.5	1.5	1	3	Repeat	Con	10	1	Number	0.384	0.464
240	1.5	1	3	Switch	Inc	0	1	Physical	0.325	0.64
247.5	1.5	1	3	Repeat	Con	0	1	Physical	0.631	0.66
255	1.5	1	3	Repeat	Inc	0	1	Physical	0.479	0.409
262.5	1.5	1	3	Switch	Inc	0	1	Number	0.272	0.734
270	1.5	1	3	Switch	Con	0	1	Physical	0.236	0.551
277.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.476	0.82
285	1.5	1	3	Switch	Inc	0	1	Number	0.317	1.042
292.5	1.5	1	3	Repeat	Inc	0	1	Number	0.305	0.647
300	1.5	1	3	Repeat	Inc	0	1	Number	0.262	0.535
307.5	1.5	1	6	Switch	Con	0	1	Physical	0.446	0.536
318	1.5	1	3	Switch	Con	10	1	Number	0.282	0.48
325.5	1.5	1	4.5	Switch	Inc	0	1	Physical	0.352	0.594
334.5	1.5	1	3	Switch	Con	10	1	Number	0.426	0.444
342	1.5	1	3	Repeat	Inc	0	1	Number	0.624	0.816
349.5	1.5	1	3	Switch	Inc	0	1	Physical	0.335	1.037
357	1.5	1	3	Repeat	Con	0	1	Physical	0.313	0.456
364.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.486	0.694
372	1.5	1	3	Switch	Con	0	1	Number	0.291	0.692
379.5	1.5	1	3	Repeat	Inc	0	1	Number	0.288	0.864
387	1.5	1	3	Repeat	Con	0	1	Number	0.34	0.514
394.5	1.5	1	3	Repeat	Inc	0	1	Number	0.302	0.54
402	1.5	1	3	Repeat	Inc	0	0	Number	0.309	0.776
409.5	1.5	1	3	Repeat	Con	0	1	Number	0.305	0.567
417	1.5	1	3	Switch	Con	0	1	Physical	0.284	0.558
424.5	1.5	1	6	Repeat	Con	0	1	Physical	0.302	1.099
435	1.5	1	3	Switch	Con	0	1	Number	0.386	0.742
442.5	1.5	1	3	Switch	Inc	0	1	Physical	0.541	1.101
450	1.5	1	4.5	Repeat	Con	0	1	Physical	0.313	0.476
459	1.5	1	3	Repeat	Con	0	1	Physical	0.484	0.919
466.5	1.5	1	3	Switch	Inc	0	0	Number	0.355	0.551
474	1.5	1	3	Null	Con	0	0	NoChoice	0	0.498
481.5	1.5	1	3	Switch	Inc	0	0	Physical	0.338	0.707
489	1.5	1	3	Repeat	Con	10	1	Physical	0.269	0.46
0	1.5	2	3	Switch	Con	0	1	Number	0.338	0.465
7.5	1.5	2	3	Repeat	Inc	0	0	Number	0.315	0.943
15	1.5	2	3	Repeat	Con	0	1	Number	0.318	0.927
22.5	1.5	2	3	Repeat	Con	10	1	Number	0.323	0.466
30	1.5	2	3	Repeat	Inc	0	1	Number	0.299	0.64
37.5	1.5	2	3	Switch	Con	0	1	Physical	0.304	1.095
45	1.5	2	3	Switch	Inc	0	1	Number	0.361	0.501
52.5	1.5	2	3	Switch	Inc	0	1	Physical	0.353	0.789
60	1.5	2	3	Repeat	Con	0	1	Physical	0.324	0.397
67.5	1.5	2	3	Repeat	Con	10	1	Physical	0.374	0.441
75	1.5	2	3	Switch	Con	10	1	Number	0.3	0.487
82.5	1.5	2	3	Repeat	Con	0	1	Number	0.404	0.512
90	1.5	2	3	Switch	Con	10	1	Physical	0.34	0.396
97.5	1.5	2	3	Repeat	Con	0	1	Physical	0.336	0.448
105	1.5	2	3	Repeat	Inc	0	1	Physical	0.335	0.386
112.5	1.5	2	6	Switch	Con	10	1	Number	0.267	0.394
123	1.5	2	3	Switch	Inc	0	0	Physical	0.323	0.422
130.5	1.5	2	3	Repeat	Con	0	1	Physical	0.284	0.452
