onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Inc	0	1	Physical	0.412	0.575
7.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.319	0.467
15	1.5	1	3	Switch	Inc	0	1	Number	0.281	0.655
22.5	1.5	1	3	Switch	Con	0	1	Physical	0.267	0.458
30	1.5	1	3	Switch	Inc	0	1	Number	0.348	0.56
37.5	1.5	1	3	Repeat	Inc	0	1	Number	0.324	0.821
45	1.5	1	3	Repeat	Con	0	1	Number	0.625	1.01
52.5	1.5	1	3	Switch	Inc	0	1	Physical	0.986	1.018
60	1.5	1	3	Repeat	Con	10	1	Physical	0.36	0.455
67.5	1.5	1	3	Switch	Con	0	1	Number	0.394	0.545
75	1.5	1	3	Switch	Inc	0	1	Physical	0.3	0.619
82.5	1.5	1	3	Repeat	Con	0	1	Physical	0.287	0.992
90	1.5	1	3	Switch	Con	0	1	Number	0.327	0.552
97.5	1.5	1	3	Repeat	Con	0	1	Number	0.433	0.513
105	1.5	1	3	Repeat	Inc	0	0	Number	0.332	0.659
112.5	1.5	1	3	Switch	Con	0	1	Physical	0.353	0.525
120	1.5	1	3	Repeat	Con	0	1	Physical	0.477	0.827
127.5	1.5	1	3	Switch	Con	0	1	Number	0.368	0.7
135	1.5	1	3	Switch	Con	0	1	Physical	1.116	0.661
142.5	1.5	1	3	Switch	Inc	0	1	Number	0.314	0.615
150	1.5	1	3	Repeat	Con	0	1	Number	0.313	0.625
157.5	1.5	1	3	Switch	Con	0	1	Physical	0.384	0.941
165	1.5	1	3	Switch	Inc	0	1	Number	0.318	0.621
172.5	1.5	1	6	Repeat	Inc	0	1	Number	0.983	0.912
183	1.5	1	3	Repeat	Inc	0	1	Number	0.382	0.899
190.5	1.5	1	3	Repeat	Con	0	1	Number	0.5	0.705
198	1.5	1	3	Switch	Con	0	1	Physical	0.416	0.568
205.5	1.5	1	3	Repeat	Inc	0	1	Physical	1.369	0.55
213	1.5	1	3	Repeat	Inc	10	1	Physical	0.338	0.328
220.5	1.5	1	6	Repeat	Inc	0	1	Physical	0.319	0.798
231	1.5	1	3	Switch	Inc	0	0	Number	0.363	0.663
238.5	1.5	1	3	Repeat	Con	0	1	Number	0.592	0.83
246	1.5	1	3	Switch	Inc	0	1	Physical	0.309	0.82
253.5	1.5	1	3	Switch	Inc	0	1	Number	0.538	0.578
261	1.5	1	3	Repeat	Inc	0	1	Number	0.633	0.61
268.5	1.5	1	3	Switch	Con	10	1	Physical	0.393	0.448
276	1.5	1	3	Switch	Inc	0	1	Number	0.338	0.771
283.5	1.5	1	4.5	Repeat	Con	0	1	Number	0.666	0.969
292.5	1.5	1	4.5	Repeat	Inc	0	1	Number	0.388	0.872
301.5	1.5	1	3	Switch	Inc	10	1	Physical	0.437	0.415
309	1.5	1	4.5	Switch	Inc	0	1	Number	0.345	0.601
318	1.5	1	3	Repeat	Con	0	1	Number	0.42	0.548
325.5	1.5	1	3	Switch	Con	0	1	Physical	0.422	0.478
333	1.5	1	3	Repeat	Con	0	1	Physical	0.594	0.809
340.5	1.5	1	3	Switch	Con	0	1	Number	0.337	0.505
348	1.5	1	3	Switch	Inc	0	1	Physical	0.352	0.855
355.5	1.5	1	3	Repeat	Con	0	1	Physical	0.399	0.488
363	1.5	1	3	Switch	Inc	0	1	Number	0.389	0.596
370.5	1.5	1	3	Switch	Inc	0	1	Physical	0.667	0.853
378	1.5	1	3	Switch	Inc	0	1	Number	0.805	0.671
385.5	1.5	1	7.5	Repeat	Inc	0	1	Number	0.466	0.521
397.5	1.5	1	3	Switch	Con	0	1	Physical	0.403	0.574
405	1.5	1	4.5	Switch	Con	0	1	Number	0.585	0.638
414	1.5	1	3	Repeat	Inc	0	1	Number	0.487	0.689
421.5	1.5	1	3	Switch	Inc	0	1	Physical	0.895	0.563
429	1.5	1	3	Switch	Con	0	1	Number	0.384	0.673
436.5	1.5	1	3	Switch	Con	0	1	Physical	0.423	0.707
444	1.5	1	3	Repeat	Inc	0	1	Physical	0.372	0.939
451.5	1.5	1	3	Repeat	Con	0	1	Physical	0.896	0.666
459	1.5	1	3	Switch	Con	0	1	Number	0.816	0.609
466.5	1.5	1	3	Repeat	Inc	0	1	Number	0.588	0.994
474	1.5	1	3	Switch	Con	0	1	Physical	0.457	0.97
481.5	1.5	1	3	Repeat	Con	0	1	Physical	0.549	0.756
489	1.5	1	3	Switch	Con	0	1	Number	0.443	0.96
0	1.5	2	3	Switch	Inc	0	1	Physical	0.509	0.676
7.5	1.5	2	3	Switch	Inc	0	1	Number	0.338	0.587
15	1.5	2	3	Repeat	Con	0	0	Number	0.707	0.775
22.5	1.5	2	3	Switch	Inc	0	1	Physical	0.341	0.646
30	1.5	2	3	Repeat	Inc	0	1	Physical	0.469	1.211
37.5	1.5	2	3	Switch	Con	0	1	Number	0.526	0.611
45	1.5	2	6	Repeat	Inc	0	1	Number	0.493	0.663
55.5	1.5	2	3	Switch	Inc	0	0	Physical	0.357	0.884
63	1.5	2	3	Repeat	Inc	0	1	Physical	0.746	0.644
70.5	1.5	2	3	Repeat	Inc	0	1	Physical	1.361	0.951
78	1.5	2	3	Switch	Con	0	1	Number	0.419	0.749
85.5	1.5	2	3	Switch	Inc	0	1	Physical	0.36	0.706
93	1.5	2	3	Switch	Con	0	1	Number	0.316	0.838
100.5	1.5	2	3	Repeat	Con	0	1	Number	0.38	0.676
108	1.5	2	3	Switch	Con	0	1	Physical	0.385	0.436
115.5	1.5	2	3	Repeat	Con	0	1	Physical	0.536	1.059
123	1.5	2	3	Switch	Con	0	1	Number	1.02	0.779
130.5	1.5	2	3	Repeat	Con	0	1	Number	0.601	0.641
138	1.5	2	3	Repeat	Inc	0	1	Number	0.363	0.6
145.5	1.5	2	3	Null	Con	0	0	NoChoice	0	0.747
153	1.5	2	3	Switch	Inc	0	1	Physical	0.679	0.865
160.5	1.5	2	3	Switch	Con	0	1	Number	0.361	0.654
168	1.5	2	3	Switch	Con	0	1	Physical	0.335	0.528
175.5	1.5	2	3	Switch	Con	0	1	Number	0.792	0.693
183	1.5	2	4.5	Switch	Inc	0	0	Physical	0.6	0.754
192	1.5	2	3	Repeat	Inc	0	1	Physical	0.712	0.695
199.5	1.5	2	3	Switch	Inc	0	1	Number	0.503	0.672
207	1.5	2	3	Repeat	Inc	0	1	Number	0.992	0.763
214.5	1.5	2	3	Switch	Inc	0	1	Physical	0.435	0.869
222	1.5	2	3	Repeat	Inc	0	1	Physical	0.439	0.813
229.5	1.5	2	3	Switch	Con	0	1	Number	0.361	0.807
237	1.5	2	3	Switch	Con	0	1	Physical	0.587	0.571
244.5	1.5	2	3	Switch	Con	0	1	Number	0.579	0.572
252	1.5	2	3	Switch	Con	0	1	Physical	0.478	0.533
259.5	1.5	2	3	Switch	Con	0	1	Number	0.693	0.512
267	1.5	2	4.5	Repeat	Inc	0	1	Number	0.508	1.056
276	1.5	2	3	Switch	Con	0	1	Physical	0.381	0.53
283.5	1.5	2	3	Repeat	Con	0	1	Physical	0.575	1.19
291	1.5	2	4.5	Switch	Con	0	1	Number	0.573	0.521
300	1.5	2	6	Repeat	Inc	0	1	Number	0.673	0.555
310.5	1.5	2	4.5	Repeat	Con	0	1	Number	0.371	0.523
319.5	1.5	2	3	Switch	Inc	0	1	Physical	0.636	0.802
327	1.5	2	3	Repeat	Inc	0	1	Physical	0.528	1.031
334.5	1.5	2	3	Switch	Con	0	1	Number	0.871	0.881
342	1.5	2	3	Repeat	Con	0	1	Number	0.747	0.71
349.5	1.5	2	3	Switch	Con	0	1	Physical	0.588	0.594
357	1.5	2	3	Repeat	Inc	0	0	Physical	0.723	0.8
364.5	1.5	2	3	Switch	Con	0	1	Number	1.247	0.573
372	1.5	2	3	Switch	Inc	0	1	Physical	0.397	0.783
379.5	1.5	2	3	Repeat	Inc	0	1	Physical	0.804	0.679
387	1.5	2	3	Switch	Inc	0	1	Number	0.426	0.647
394.5	1.5	2	3	Repeat	Inc	0	1	Number	0.354	1.174
402	1.5	2	3	Switch	Con	0	1	Physical	1.061	1.05
409.5	1.5	2	3	Switch	Inc	0	1	Number	0.476	0.556
417	1.5	2	3	Switch	Inc	0	1	Physical	0.456	0.832
424.5	1.5	2	3	Repeat	Con	0	1	Physical	0.511	0.525
432	1.5	2	3	Switch	Con	0	1	Number	0.635	0.539
439.5	1.5	2	3	Null	Inc	0	0	NoChoice	0	0
447	1.5	2	3	Switch	Inc	0	1	Number	0.38	0.585
454.5	1.5	2	3	Repeat	Con	0	1	Number	0.54	0.819
462	1.5	2	7.5	Switch	Inc	0	1	Physical	0.382	0.857
474	1.5	2	3	Switch	Con	10	1	Number	0.329	0.47
481.5	1.5	2	3	Repeat	Con	0	1	Number	0.866	0.972
489	1.5	2	3	Switch	Inc	0	1	Physical	0.598	0.413
0	1.5	3	3	Switch	Inc	0	1	Number	0.766	0.898
7.5	1.5	3	3	Repeat	Inc	0	1	Number	1.186	0.622
15	1.5	3	3	Switch	Con	10	1	Physical	0.348	0.478
22.5	1.5	3	3	Repeat	Inc	0	1	Physical	0.856	1.05
30	1.5	3	3	Switch	Con	0	1	Number	0.548	0.567
37.5	1.5	3	4.5	Switch	Inc	0	1	Physical	0.641	0.468
46.5	1.5	3	3	Switch	Con	0	1	Number	0.534	0.613
54	1.5	3	3	Repeat	Inc	0	1	Number	0.714	0.721
61.5	1.5	3	3	Switch	Con	0	1	Physical	0.503	0.501
69	1.5	3	3	Switch	Inc	0	1	Number	0.416	0.793
76.5	1.5	3	3	Repeat	Con	0	1	Number	0.702	0.569
84	1.5	3	3	Switch	Inc	0	0	Physical	0.385	1.023
91.5	1.5	3	3	Repeat	Inc	0	1	Physical	0.611	1.024
99	1.5	3	3	Null	Inc	0	0	NoChoice	0	0
106.5	1.5	3	6	Switch	Inc	0	1	Number	0.526	0.575
117	1.5	3	3	Repeat	Con	0	1	Number	0.417	0.594
124.5	1.5	3	7.5	Switch	Inc	0	1	Physical	0.578	0.906
136.5	1.5	3	3	Repeat	Con	0	1	Physical	0.467	0.571
144	1.5	3	3	Repeat	Inc	0	1	Physical	0.432	0.676
151.5	1.5	3	3	Switch	Con	0	1	Number	0.626	0.841
159	1.5	3	3	Switch	Con	0	1	Physical	0.39	0.486
166.5	1.5	3	3	Switch	Con	0	1	Number	0.346	0.762
174	1.5	3	3	Repeat	Inc	0	1	Number	0.745	0.706
181.5	1.5	3	3	Repeat	Con	0	1	Number	1.234	0.835
189	1.5	3	3	Switch	Inc	0	1	Physical	0.595	0.999
196.5	1.5	3	3	Switch	Con	0	1	Number	0.426	0.466
204	1.5	3	3	Switch	Con	0	1	Physical	0.369	0.4
211.5	1.5	3	3	Repeat	Inc	0	0	Physical	0.363	0.763
219	1.5	3	3	Repeat	Inc	0	1	Physical	0.373	0.557
226.5	1.5	3	3	Switch	Con	0	1	Number	0.351	0.507
234	1.5	3	3	Repeat	Con	0	1	Number	0.373	0.625
241.5	1.5	3	3	Repeat	Con	0	1	Number	0.529	0.598
249	1.5	3	3	Switch	Con	0	1	Physical	0.578	1.033
256.5	1.5	3	3	Repeat	Con	0	1	Physical	1.393	0.493
264	1.5	3	3	Null	Con	0	0	NoChoice	1.444	0.46
271.5	1.5	3	3	Switch	Con	0	1	Number	0.391	0.576
279	1.5	3	4.5	Switch	Inc	10	1	Physical	0.38	0.467
288	1.5	3	3	Switch	Con	0	1	Number	0.869	0.518
295.5	1.5	3	4.5	Repeat	Inc	0	1	Number	0.763	0.742
304.5	1.5	3	3	Repeat	Con	0	1	Number	0.342	0.634
312	1.5	3	3	Switch	Inc	0	1	Physical	0.535	1.112
319.5	1.5	3	3	Repeat	Con	0	1	Physical	0.563	0.944
327	1.5	3	3	Switch	Con	0	1	Number	0.344	0.499
334.5	1.5	3	6	Switch	Con	0	1	Physical	0.353	1.167
345	1.5	3	3	Switch	Inc	0	1	Number	0.324	0.661
352.5	1.5	3	3	Repeat	Con	0	1	Number	0.612	0.652
360	1.5	3	3	Switch	Inc	0	1	Physical	0.48	0.713
367.5	1.5	3	4.5	Repeat	Inc	0	1	Physical	0.388	0.678
376.5	1.5	3	3	Switch	Con	0	1	Number	0.365	0.588
384	1.5	3	3	Repeat	Inc	0	1	Number	0.898	0.942
391.5	1.5	3	3	Switch	Con	10	1	Physical	0.998	0.481
399	1.5	3	3	Repeat	Inc	0	1	Physical	0.683	1.134
406.5	1.5	3	3	Switch	Inc	0	0	Number	0.646	0.961
414	1.5	3	3	Repeat	Inc	0	1	Number	0.571	0.744
421.5	1.5	3	3	Repeat	Con	0	1	Number	0.415	0.731
429	1.5	3	3	Switch	Con	0	1	Physical	0.343	1.442
436.5	1.5	3	3	Switch	Inc	0	1	Number	0.497	0.598
444	1.5	3	3	Switch	Inc	0	1	Physical	0.497	0.587
451.5	1.5	3	3	Switch	Inc	0	1	Number	0.35	0.586
459	1.5	3	3	Repeat	Con	0	1	Number	0.671	0.606
466.5	1.5	3	3	Switch	Inc	0	1	Physical	0.373	0.663
474	1.5	3	3	Repeat	Con	0	1	Physical	0.74	0.875
481.5	1.5	3	3	Repeat	Inc	0	1	Physical	0.67	0.93
489	1.5	3	3	Switch	Inc	0	0	Number	0.444	0.583
0	1.5	4	3	Repeat	Con	0	1	Number	0.455	0.665
7.5	1.5	4	3	Switch	Con	0	1	Physical	0.34	0.982
15	1.5	4	3	Repeat	Inc	0	1	Physical	0.352	1.15
22.5	1.5	4	3	Switch	Inc	0	1	Number	0.533	0.769
30	1.5	4	3	Switch	Inc	10	1	Physical	0.337	0.482
37.5	1.5	4	4.5	Repeat	Con	0	1	Physical	0.586	0.659
46.5	1.5	4	3	Repeat	Con	0	1	Physical	0.494	0.695
54	1.5	4	3	Switch	Con	0	1	Number	0.359	0.583
