onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Con	10	1	Number	0.326	0.449
7.5	1.5	1	3	Switch	Inc	0	0	Physical	0.306	0.51
15	1.5	1	3	Repeat	Inc	10	1	Physical	0.375	0.413
22.5	1.5	1	3	Repeat	Inc	0	0	Physical	0.237	0.502
30	1.5	1	3	Repeat	Con	10	1	Physical	0.265	0.462
37.5	1.5	1	3	Switch	Inc	0	0	Number	0.408	0.58
45	1.5	1	3	Repeat	Con	0	0	Number	0.28	0.578
52.5	1.5	1	3	Switch	Inc	0	1	Physical	0.357	0.48
60	1.5	1	3	Repeat	Inc	0	1	Physical	0.304	0.519
67.5	1.5	1	7.5	Repeat	Inc	0	1	Physical	0.243	0.414
79.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.317	0.564
87	1.5	1	3	Repeat	Con	0	1	Physical	0.324	0.472
94.5	1.5	1	3	Switch	Inc	0	1	Number	0.24	0.834
102	1.5	1	3	Repeat	Inc	0	1	Number	0.302	0.636
109.5	1.5	1	3	Repeat	Con	0	1	Number	0.344	0.605
117	1.5	1	3	Switch	Con	10	1	Physical	0.308	0.494
124.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.294	0.468
132	1.5	1	3	Switch	Inc	0	1	Number	0.334	0.637
139.5	1.5	1	3	Switch	Inc	0	1	Physical	0.278	0.421
147	1.5	1	3	Repeat	Con	10	1	Physical	0.311	0.465
154.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.313	0.453
162	1.5	1	3	Repeat	Inc	0	1	Physical	0.287	0.5
169.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.273	0.462
177	1.5	1	3	Switch	Con	0	1	Number	0.26	0.416
184.5	1.5	1	6	Repeat	Con	10	1	Number	0.408	0.458
195	1.5	1	3	Switch	Con	0	1	Physical	0.288	0.393
202.5	1.5	1	3	Repeat	Con	0	1	Physical	0.292	0.402
210	1.5	1	4.5	Switch	Con	10	1	Number	0.254	0.419
219	1.5	1	3	Repeat	Inc	0	1	Number	0.349	0.527
226.5	1.5	1	4.5	Repeat	Con	10	1	Number	0.328	0.476
235.5	1.5	1	3	Repeat	Con	0	1	Number	0.26	0.371
