onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Inc	0	1	Number	0.471	0.578
7.5	1.5	1	3	Repeat	Con	10	1	Number	0.383	0.404
15	1.5	1	3	Switch	Con	10	1	Physical	0.299	0.352
22.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.268	0.378
30	1.5	1	3	Switch	Inc	10	1	Number	0.277	0.469
37.5	1.5	1	3	Switch	Con	0	1	Physical	0.319	0.353
45	1.5	1	3	Repeat	Inc	0	1	Physical	0.549	0.415
52.5	1.5	1	3	Switch	Con	0	1	Number	0.521	0.382
60	1.5	1	4.5	Repeat	Inc	0	0	Number	0.407	0.372
69	1.5	1	3	Switch	Inc	10	1	Physical	0.331	0.347
76.5	1.5	1	3	Repeat	Con	10	1	Physical	0.377	0.378
84	1.5	1	3	Switch	Inc	0	0	Number	0.575	0.392
91.5	1.5	1	4.5	Repeat	Inc	0	0	Number	0.406	0.371
100.5	1.5	1	7.5	Switch	Con	10	1	Physical	0.348	0.427
112.5	1.5	1	3	Switch	Inc	0	1	Number	0.377	0.568
120	1.5	1	3	Repeat	Inc	0	1	Number	0.51	0.488
127.5	1.5	1	3	Repeat	Inc	0	1	Number	0.961	0.538
135	1.5	1	3	Switch	Inc	0	1	Physical	0.395	0.47
142.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.453	0.352
150	1.5	1	3	Switch	Con	0	1	Number	0.337	0.401
157.5	1.5	1	3	Switch	Inc	10	1	Physical	0.472	0.39
165	1.5	1	3	Repeat	Con	0	1	Physical	0.358	0.351
172.5	1.5	1	3	Switch	Inc	0	1	Number	0.335	0.506
180	1.5	1	3	Repeat	Con	0	1	Number	0.475	0.398
187.5	1.5	1	3	Switch	Con	0	1	Physical	0.5	0.458
195	1.5	1	3	Switch	Inc	0	0	Number	0.253	0.334
202.5	1.5	1	4.5	Repeat	Inc	0	0	Number	0.341	0.395
211.5	1.5	1	3	Switch	Con	0	1	Physical	0.309	0.539
219	1.5	1	3	Repeat	Con	10	1	Physical	0.522	0.393
226.5	1.5	1	3	Switch	Inc	0	1	Number	0.34	0.619
234	1.5	1	3	Repeat	Con	10	1	Number	0.362	0.487
241.5	1.5	1	3	Switch	Inc	10	1	Physical	0.603	0.378
249	1.5	1	3	Repeat	Con	0	1	Physical	0.289	0.392
256.5	1.5	1	3	Switch	Con	10	1	Number	0.667	0.422
264	1.5	1	3	Switch	Con	0	1	Physical	0.381	0.39
271.5	1.5	1	3	Switch	Con	10	1	Number	0.471	0.461
279	1.5	1	3	Repeat	Con	0	1	Number	0.343	0.348
286.5	1.5	1	3	Switch	Con	0	1	Physical	0.332	0.377
294	1.5	1	3	Repeat	Con	0	1	Physical	0.45	0.384
301.5	1.5	1	3	Switch	Inc	0	0	Number	0.282	0.411
309	1.5	1	3	Repeat	Con	0	1	Number	0.361	0.388
316.5	1.5	1	3	Switch	Inc	0	1	Physical	0.402	0.395
324	1.5	1	3	Repeat	Con	0	1	Physical	0.381	0.359
331.5	1.5	1	3	Switch	Inc	0	1	Number	0.371	0.434
339	1.5	1	3	Repeat	Con	0	1	Number	0.426	0.438
346.5	1.5	1	4.5	Switch	Inc	0	0	Physical	0.327	0.482
355.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.338	0.387
363	1.5	1	3	Switch	Con	0	1	Number	0.359	0.532
370.5	1.5	1	6	Repeat	Con	0	1	Number	0.521	0.376
381	1.5	1	3	Switch	Inc	0	1	Physical	0.368	0.345
388.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.34	0.345
396	1.5	1	3	Switch	Con	0	1	Number	0.341	0.496
403.5	1.5	1	3	Repeat	Inc	0	0	Number	0.344	0.358
411	1.5	1	3	Repeat	Con	10	1	Number	0.303	0.397
418.5	1.5	1	3	Switch	Con	0	1	Physical	0.415	0.423
426	1.5	1	3	Switch	Inc	0	0	Number	0.353	0.345
433.5	1.5	1	3	Switch	Con	0	1	Physical	0.317	0.348
441	1.5	1	3	Switch	Inc	0	0	Number	0.412	0.404
448.5	1.5	1	6	Repeat	Con	10	1	Number	0.404	0.438
459	1.5	1	3	Switch	Inc	0	1	Physical	0.38	0.382
466.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.634	0.417
474	1.5	1	3	Switch	Con	0	1	Number	0.419	0.36
481.5	1.5	1	3	Switch	Con	0	1	Physical	0.409	0.436
489	1.5	1	3	Switch	Inc	0	0	Number	0.4	0.379
0	1.5	2	3	Switch	Inc	0	1	Physical	0.323	0.402
7.5	1.5	2	3	Switch	Inc	0	0	Number	0.362	0.42
15	1.5	2	3	Repeat	Con	0	1	Number	0.359	0.431
22.5	1.5	2	3	Switch	Inc	10	1	Physical	0.37	0.453
30	1.5	2	4.5	Switch	Inc	0	1	Number	0.322	0.441
39	1.5	2	3	Repeat	Con	0	1	Number	0.304	0.425
46.5	1.5	2	3	Switch	Con	10	1	Physical	0.461	0.448
54	1.5	2	3	Repeat	Inc	10	1	Physical	0.392	0.358
61.5	1.5	2	3	Switch	Inc	10	1	Number	0.488	0.477
