onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Con	0	0	Physical	0.686	0
7.5	1.5	1	3	Repeat	Con	0	0	Physical	1.181	0
15	1.5	1	3	Null	Con	0	0	NoChoice	0	0.764
22.5	1.5	1	3	Repeat	Con	0	0	NoChoice	0	0.783
30	1.5	1	3	Repeat	Con	0	0	NoChoice	0	1.204
37.5	1.5	1	3	Switch	Inc	0	0	Physical	0.929	0
45	1.5	1	3	Repeat	Inc	0	0	Physical	0.831	0
52.5	1.5	1	3	Null	Con	0	0	NoChoice	0	1.029
60	1.5	1	3	Repeat	Con	0	0	NoChoice	0	0.891
67.5	1.5	1	3	Repeat	Inc	0	0	NoChoice	0	0
75	1.5	1	3	Repeat	Con	0	0	NoChoice	0	0.975
82.5	1.5	1	3	Repeat	Inc	0	0	NoChoice	0	0.671
90	1.5	1	3	Repeat	Inc	0	0	NoChoice	0	0.771
97.5	1.5	1	3	Switch	Inc	0	0	Physical	0.986	0
105	1.5	1	3	Repeat	Inc	0	0	Physical	0.788	0
112.5	1.5	1	6	Repeat	Inc	0	0	Physical	0.594	0
123	1.5	1	3	Repeat	Con	0	0	Physical	0.575	0
130.5	1.5	1	3	Null	Con	0	0	NoChoice	0	0.632
138	1.5	1	3	Repeat	Con	0	0	NoChoice	0	0.917
145.5	1.5	1	3	Switch	Inc	0	0	Physical	0.747	0
153	1.5	1	3	Null	Con	0	0	NoChoice	0	0
160.5	1.5	1	3	Switch	Inc	0	0	Physical	0.466	0
168	1.5	1	3	Repeat	Con	0	0	Physical	0.344	0
175.5	1.5	1	3	Repeat	Con	0	0	Physical	0.924	0
183	1.5	1	3	Null	Con	0	0	NoChoice	0	0.848
190.5	1.5	1	3	Repeat	Inc	0	0	NoChoice	0	0.856
198	1.5	1	3	Repeat	Inc	0	0	NoChoice	0	1.088
205.5	1.5	1	3	Repeat	Con	0	0	NoChoice	0	0.958
