onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Inc	0	1	Physical	0.398	0.85
7.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.364	0.601
15	1.5	1	3	Switch	Inc	0	1	Number	0.384	0.737
22.5	1.5	1	6	Switch	Inc	0	1	Physical	0.42	0.652
33	1.5	1	3	Switch	Con	0	1	Number	0.454	0.486
40.5	1.5	1	3	Repeat	Con	0	1	Number	0.768	0.662
48	1.5	1	3	Repeat	Con	0	1	Number	0.546	0.706
55.5	1.5	1	3	Switch	Inc	0	1	Physical	0.289	0.499
63	1.5	1	3	Switch	Inc	0	1	Number	0.323	0.67
70.5	1.5	1	3	Repeat	Inc	0	1	Number	0.395	0.729
78	1.5	1	3	Switch	Inc	0	1	Physical	0.348	0.844
85.5	1.5	1	3	Repeat	Con	10	1	Physical	0.538	0.472
93	1.5	1	3	Repeat	Con	0	1	Physical	0.353	0.518
100.5	1.5	1	3	Switch	Con	0	1	Number	0.317	0.777
108	1.5	1	3	Switch	Inc	0	1	Physical	0.935	1.303
115.5	1.5	1	3	Repeat	Con	0	1	Physical	0.435	0.624
123	1.5	1	3	Switch	Inc	0	1	Number	0.567	0.73
130.5	1.5	1	3	Switch	Inc	0	1	Physical	0.587	0.761
138	1.5	1	3	Switch	Inc	0	1	Number	0.783	0.76
145.5	1.5	1	3	Repeat	Inc	0	1	Number	0.509	0.804
153	1.5	1	3	Repeat	Inc	0	1	Number	0.331	0.651
160.5	1.5	1	3	Switch	Inc	0	1	Physical	0.34	0.878
168	1.5	1	3	Repeat	Con	0	1	Physical	0.29	0.462
175.5	1.5	1	3	Switch	Con	0	1	Number	0.359	0.67
183	1.5	1	3	Switch	Con	0	1	Physical	0.351	0.564
190.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.372	0.866
198	1.5	1	3	Switch	Con	0	1	Number	0.371	1.092
205.5	1.5	1	3	Repeat	Con	0	1	Number	0.763	0.888
213	1.5	1	3	Repeat	Inc	0	1	Number	0.42	0.654
220.5	1.5	1	3	Switch	Con	10	1	Physical	0.357	0.451
228	1.5	1	3	Switch	Inc	0	1	Number	0.377	0.704
235.5	1.5	1	4.5	Repeat	Inc	0	1	Number	0.334	0.611
244.5	1.5	1	7.5	Switch	Inc	0	1	Physical	0.331	0.73
256.5	1.5	1	3	Switch	Inc	0	1	Number	0.514	0.792
264	1.5	1	3	Switch	Inc	0	1	Physical	0.323	0.667
271.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.441	0.427
279	1.5	1	3	Repeat	Con	0	1	Physical	0.479	0.514
286.5	1.5	1	3	Switch	Con	0	1	Number	0.297	0.762
294	1.5	1	3	Repeat	Con	0	1	Number	0.611	0.874
301.5	1.5	1	6	Switch	Inc	0	1	Physical	0.323	0.587
312	1.5	1	3	Switch	Con	0	1	Number	0.399	0.542
319.5	1.5	1	3	Repeat	Con	0	1	Number	0.407	0.601
327	1.5	1	3	Switch	Con	10	1	Physical	0.297	0.412
334.5	1.5	1	3	Switch	Con	0	1	Number	0.597	0.91
342	1.5	1	3	Switch	Con	10	1	Physical	0.329	0.48
349.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.304	0.648
357	1.5	1	3	Repeat	Con	10	1	Physical	0.34	0.434
364.5	1.5	1	3	Switch	Con	0	1	Number	0.311	0.502
372	1.5	1	3	Repeat	Con	0	1	Number	0.499	0.557
379.5	1.5	1	4.5	Switch	Con	0	1	Physical	0.295	0.49
388.5	1.5	1	3	Switch	Con	10	1	Number	0.331	0.488
396	1.5	1	3	Switch	Inc	0	1	Physical	0.32	0.767
403.5	1.5	1	3	Repeat	Con	0	1	Physical	0.323	0.517
411	1.5	1	3	Switch	Con	0	1	Number	0.296	0.535
418.5	1.5	1	4.5	Repeat	Con	0	1	Number	0.696	0.536
427.5	1.5	1	3	Repeat	Inc	0	1	Number	0.318	0.666
435	1.5	1	3	Switch	Inc	0	1	Physical	0.291	0.77
442.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.338	0.657
450	1.5	1	4.5	Switch	Inc	0	1	Number	0.312	0.574
459	1.5	1	3	Switch	Con	0	1	Physical	0.302	0.479
466.5	1.5	1	3	Switch	Inc	0	1	Number	0.371	0.614
474	1.5	1	3	Repeat	Inc	0	1	Number	0.438	0.656
481.5	1.5	1	3	Repeat	Con	0	1	Number	0.347	0.507
489	1.5	1	3	Switch	Con	10	1	Physical	0.306	0.444
0	1.5	2	3	Repeat	Con	0	1	Physical	0.352	0.666
