onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Con	0	1	Physical	0.424	0.553
7.5	1.5	1	3	Switch	Con	0	1	Number	0.284	0.424
15	1.5	1	3	Repeat	Con	0	1	Number	0.274	0.411
22.5	1.5	1	3	Repeat	Inc	0	0	Number	0.245	0.428
30	1.5	1	3	Switch	Con	0	1	Physical	0.212	0.35
37.5	1.5	1	3	Switch	Inc	0	0	Number	0.281	0.321
45	1.5	1	3	Switch	Inc	0	1	Physical	0.29	0.467
52.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.307	0.661
60	1.5	1	4.5	Switch	Con	10	1	Number	0.327	0.377
69	1.5	1	3	Repeat	Con	10	1	Number	0.252	0.464
76.5	1.5	1	3	Switch	Inc	0	1	Physical	0.289	0.343
84	1.5	1	3	Repeat	Inc	0	0	Physical	0.398	0.535
91.5	1.5	1	7.5	Repeat	Inc	10	1	Physical	0.281	0.395
103.5	1.5	1	3	Switch	Con	10	1	Number	0.326	0.365
111	1.5	1	3	Switch	Inc	0	0	Physical	0.284	0.503
118.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.261	0.391
126	1.5	1	3	Repeat	Inc	0	0	Physical	0.294	0.455
133.5	1.5	1	4.5	Switch	Con	0	1	Number	0.455	0.527
142.5	1.5	1	3	Repeat	Inc	0	1	Number	0.313	0.519
150	1.5	1	3	Repeat	Inc	10	1	Number	0.281	0.48
157.5	1.5	1	3	Switch	Con	10	1	Physical	0.284	0.401
165	1.5	1	3	Switch	Con	10	1	Number	0.265	0.406
172.5	1.5	1	3	Switch	Inc	0	1	Physical	0.275	0.376
180	1.5	1	3	Switch	Inc	0	0	Number	0.271	0.364
187.5	1.5	1	3	Repeat	Con	0	1	Number	0.308	0.439
195	1.5	1	3	Switch	Con	10	1	Physical	0.299	0.424
202.5	1.5	1	6	Switch	Inc	0	0	Number	0.248	0.369
213	1.5	1	3	Switch	Con	10	1	Physical	0.304	0.376
220.5	1.5	1	3	Switch	Con	0	0	Number	0.491	0.463
228	1.5	1	3	Switch	Inc	0	1	Physical	0.314	0.659
235.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.269	0.408
243	1.5	1	3	Switch	Inc	0	0	Number	0.274	0.418
250.5	1.5	1	3	Repeat	Con	10	1	Number	0.297	0.449
258	1.5	1	3	Switch	Con	0	1	Physical	0.256	0.405
265.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.245	0.345
273	1.5	1	3	Switch	Inc	0	1	Number	0.267	0.519
280.5	1.5	1	3	Repeat	Inc	0	1	Number	0.28	0.525
288	1.5	1	3	Switch	Inc	0	0	Physical	0.273	0.386
295.5	1.5	1	3	Switch	Con	10	1	Number	0.235	0.331
303	1.5	1	3	Switch	Con	10	1	Physical	0.242	0.342
310.5	1.5	1	3	Repeat	Inc	10	1	Physical	0.3	0.349
318	1.5	1	3	Switch	Inc	0	1	Number	0.271	0.512
325.5	1.5	1	3	Switch	Con	0	1	Physical	0.261	0.361
333	1.5	1	4.5	Repeat	Con	10	1	Physical	0.272	0.352
342	1.5	1	3	Switch	Con	10	1	Number	0.247	0.381
349.5	1.5	1	4.5	Switch	Inc	10	1	Physical	0.318	0.384
358.5	1.5	1	3	Switch	Con	0	1	Number	0.265	0.503
366	1.5	1	3	Repeat	Inc	0	0	Number	0.305	0.341
373.5	1.5	1	3	Repeat	Con	0	1	Number	0.261	0.382
381	1.5	1	3	Repeat	Inc	0	0	Number	0.256	0.371
388.5	1.5	1	3	Switch	Inc	0	1	Physical	0.257	0.418
396	1.5	1	3	Switch	Inc	0	1	Number	0.258	0.517
403.5	1.5	1	3	Switch	Con	0	0	Physical	0.274	0.37
411	1.5	1	3	Repeat	Con	0	1	Physical	0.302	0.356
418.5	1.5	1	3	Switch	Con	0	1	Number	0.255	0.423
