onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
0	1.5	1	3	Switch	Inc	0	1	Physical	0.374	0.652
7.5	1.5	1	3	Switch	Inc	0	1	Number	0.306	0.896
15	1.5	1	3	Repeat	Inc	10	1	Number	0.279	0.63
22.5	1.5	1	6	Repeat	Con	10	1	Number	0.262	0.445
33	1.5	1	4.5	Repeat	Inc	0	1	Number	0.447	0.529
42	1.5	1	3	Switch	Inc	0	1	Physical	0.518	0.665
49.5	1.5	1	3	Switch	Inc	0	1	Number	0.26	0.652
57	1.5	1	3	Repeat	Con	0	1	Number	0.313	0.416
64.5	1.5	1	3	Switch	Inc	0	0	Physical	0.258	0.554
72	1.5	1	3	Repeat	Con	0	1	Physical	0.275	0.617
79.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.262	0.514
87	1.5	1	3	Switch	Inc	0	1	Number	0.239	0.629
94.5	1.5	1	3	Switch	Con	10	1	Physical	0.342	0.462
102	1.5	1	3	Repeat	Con	0	1	Physical	0.261	0.399
109.5	1.5	1	3	Repeat	Con	10	1	Physical	0.288	0.376
117	1.5	1	3	Repeat	Inc	0	0	Physical	0.271	0.731
124.5	1.5	1	3	Repeat	Inc	0	0	Physical	0.278	0.636
132	1.5	1	3	Switch	Con	10	1	Number	0.271	0.458
139.5	1.5	1	3	Switch	Inc	0	0	Physical	0.278	0.38
147	1.5	1	3	Repeat	Inc	0	1	Physical	0.224	0.439
154.5	1.5	1	6	Switch	Con	0	1	Number	0.266	0.439
165	1.5	1	3	Switch	Con	0	1	Physical	0.354	0.358
172.5	1.5	1	3	Repeat	Con	10	1	Physical	0.544	0.345
180	1.5	1	3	Switch	Inc	0	0	Number	0.242	0.456
187.5	1.5	1	3	Repeat	Con	0	1	Number	0.26	0.455
195	1.5	1	3	Switch	Inc	10	1	Physical	0.296	0.359
202.5	1.5	1	3	Repeat	Con	10	1	Physical	0.268	0.344
210	1.5	1	3	Switch	Inc	0	1	Number	0.285	0.584
217.5	1.5	1	3	Repeat	Inc	10	1	Number	0.308	0.44
225	1.5	1	3	Repeat	Con	0	1	Number	0.262	0.343
232.5	1.5	1	4.5	Repeat	Inc	0	1	Number	0.22	0.425
241.5	1.5	1	3	Switch	Inc	0	1	Physical	0.274	0.537
249	1.5	1	3	Repeat	Con	10	1	Physical	0.264	0.357
256.5	1.5	1	3	Switch	Con	10	1	Number	0.279	0.392
264	1.5	1	3	Switch	Con	10	1	Physical	0.252	0.385
271.5	1.5	1	3	Repeat	Inc	0	1	Physical	0.286	0.526
279	1.5	1	3	Repeat	Inc	10	1	Physical	0.233	0.456
286.5	1.5	1	3	Switch	Inc	0	0	Number	0.238	0.464
294	1.5	1	7.5	Repeat	Inc	0	1	Number	0.236	0.43
306	1.5	1	3	Repeat	Con	0	1	Number	0.266	0.372
313.5	1.5	1	3	Switch	Con	0	1	Physical	0.27	0.362
321	1.5	1	3	Repeat	Inc	0	1	Physical	0.234	0.339
328.5	1.5	1	3	Switch	Inc	10	1	Number	0.23	0.566
336	1.5	1	3	Switch	Inc	0	1	Physical	0.247	0.391
343.5	1.5	1	3	Switch	Inc	0	0	Number	0.228	0.36
351	1.5	1	4.5	Repeat	Con	10	1	Number	0.287	0.347
360	1.5	1	3	Switch	Con	0	1	Physical	0.29	0.385
